                    home_team                        away_team                    date  initial_odds_home  initial_draw_odds  initial_odds_away  initial_difference  actual_odds_home  draw_odds_actual  actual_odds_away  actual_difference
31                    Goztepe                       Fenerbahce   17/08/2024 (Saturday)               7.33               5.13               1.44                5.89              8.90              5.38              1.37               7.53
32               Cumbaya F.C.          Independiente Del Valle   17/08/2024 (Saturday)              10.30               5.26               1.28                9.02              9.70              5.07              1.30               8.40
33                 SL Benfica                      Casa Pia AC   17/08/2024 (Saturday)               1.18               7.50              13.50               12.32              1.21              6.90             12.50              11.29
34                  Celaya FC          CSyD Dorados de Sinaloa     18/08/2024 (Sunday)               1.33               4.90               8.15                6.82              1.32              4.95              8.45               7.13
35                  FK Khimki              Zenit St.Petersburg     18/08/2024 (Sunday)              11.00               6.00               1.32                9.68             10.50              5.92              1.33               9.17
36                 PEC Zwolle              Feyenoord Rotterdam     18/08/2024 (Sunday)               9.90               6.65               1.25                8.65              9.60              6.50              1.26               8.34
37                     Celtic                     Hibernian FC     18/08/2024 (Sunday)               1.20               6.50              12.60               11.40              1.21              6.45             12.30              11.09
38                  NAC Breda                   Ajax Amsterdam     18/08/2024 (Sunday)               9.10               6.45               1.27                7.83              9.50              6.55              1.26               8.24
39       Mikkelin Palloilijat                             Jaro     18/08/2024 (Sunday)               7.95               5.40               1.31                6.64              9.15              5.60              1.27               7.88
40           FC Flora Tallinn                  FC Nomme United     18/08/2024 (Sunday)               1.29               5.15               9.15                7.86              1.28              5.20              9.50               8.22
41               Krasnodar FK          FC Pari Nizhny Novgorod     18/08/2024 (Sunday)               1.43               4.97               8.90                7.47              1.39              5.07              9.90               8.51
42        FC Hebar Pazardzhik                    Botev Plovdiv     18/08/2024 (Sunday)               6.20               4.15               1.51                4.69              8.70              4.90              1.34               7.36
43                 AEK Athens                        OFI Crete     18/08/2024 (Sunday)               1.22               6.60              12.50               11.28              1.21              6.75             13.00              11.79
                    home_team                        away_team                    date  initial_odds_home  initial_draw_odds  initial_odds_away  initial_difference  actual_odds_home  draw_odds_actual  actual_odds_away  actual_difference
0                FC Dobrudzha                      PFC Nesebar    13/08/2024 (Tuesday)               1.26               5.00               9.40                8.14              1.06              8.70             20.00              18.94
1            Bayern Munich(N)              WSG Swarovski Tirol    13/08/2024 (Tuesday)               1.21               7.50              11.50               10.29              1.09             12.00             20.00              18.91
2      Paide Linnameeskond(N)                        BK Hacken    13/08/2024 (Tuesday)               6.58               7.13               1.32                5.26             10.60              6.86              1.23               9.37
3                  ASA Aarhus                       Thisted FC    13/08/2024 (Tuesday)              29.00               8.80               1.08               27.92             20.00              9.10              1.09              18.91
4                Uniao Suzano          Portuguesa de Desportos    13/08/2024 (Tuesday)               8.80               5.10               1.27                7.53              9.40              5.25              1.25               8.15
5                   Dumbarton                  Berwick Rangers    13/08/2024 (Tuesday)               1.07              12.00              29.00               27.93              1.09              8.80             20.00              18.91
6           Macclesfield Town                   Prescot Cables    13/08/2024 (Tuesday)               1.23               5.50               9.35                8.12              1.25              5.55              8.55               7.30
7                Club Guabira                  Real Santa Cruz  14/08/2024 (Wednesday)               1.30               4.80               8.30                7.00              1.61              3.94              4.92               3.31
8         Neulengbach Women's  FSK St Polten Spratzern Women's  14/08/2024 (Wednesday)              23.00               9.50               1.09               21.91             27.00             10.00              1.06              25.94
9         Rigas Futbola Skola                  UE Santa Coloma  14/08/2024 (Wednesday)               1.27               6.30               9.50                8.23              1.23              6.35             12.50              11.27
10           Zalgiris Vilnius                   FK TransINVEST  14/08/2024 (Wednesday)               1.21               5.40              12.20               10.99              1.26              5.30             11.00               9.74
11                Pyramids FC                      El Dakhleya  14/08/2024 (Wednesday)               1.13               7.10              20.00               18.87              1.11              7.80             18.50              17.39
12                 CA Penarol                    The Strongest   15/08/2024 (Thursday)               1.33               5.31              10.00                8.67              1.36              5.16              9.00               7.64
13          FC Viktoria Plzen                          Kryvbas   15/08/2024 (Thursday)               1.40               4.90               7.50                6.10              1.33              5.35              8.90               7.57
14                   CFR Cluj           Maccabi Petah Tikva FC   15/08/2024 (Thursday)               1.43               4.67               7.11                5.68              1.33              5.23              9.00               7.67
15                      Brann                       St. Mirren   15/08/2024 (Thursday)               1.51               4.42               6.04                4.53              1.30              5.63              9.40               8.10
16                 AEK Athens                          FC Noah   15/08/2024 (Thursday)               1.23               6.44              11.90               10.67              1.11             10.00             20.00              18.89
17   Istanbul Basaksehir F.K.              Iberia 1999 Tbilisi   15/08/2024 (Thursday)               1.18               7.41              13.60               12.42              1.19              7.22             13.20              12.01
18           Maccabi Tel Aviv                     FK Panevezys   15/08/2024 (Thursday)               1.28               5.90               9.90                8.62              1.23              6.15             13.00              11.77
19               Hajduk Split                   MFK Ruzomberok   15/08/2024 (Thursday)               1.51               4.51               5.97                4.46              1.33              5.08              9.55               8.22
20           CR Flamengo (RJ)                     Club Bolivar     16/08/2024 (Friday)               1.17               8.40              15.00               13.83              1.14              9.05             17.50              16.36
21         Wurzburger Kickers                       Hoffenheim     16/08/2024 (Friday)               9.60               6.20               1.21                8.39             12.00              7.10              1.22              10.78
22            Levadia Tallinn                 Tartu JK Tammeka     16/08/2024 (Friday)               1.26               6.00               8.05                6.79              1.27              5.30              9.70               8.43
23           Hillerod Fodbold                          HB Koge     16/08/2024 (Friday)               1.29               5.75               8.65                7.36              1.29              5.80              8.45               7.16
24              Dinamo Zagreb                      HNK Sibenik     16/08/2024 (Friday)               1.19               5.80              13.20               12.01              1.24              5.60              9.75               8.51
25  Universitario de Deportes              Deportivo Garcilaso   17/08/2024 (Saturday)               1.24               6.34              12.60               11.36              1.22              6.79             13.70              12.48
26                   Malmo FF                   IFK Norrkoping   17/08/2024 (Saturday)               1.20               7.20              12.50               11.30              1.23              6.75             11.00               9.77
27               Slavia Praha                          Teplice   17/08/2024 (Saturday)               1.17               7.20              14.30               13.13              1.14              7.80             17.00              15.86
28            Glasgow Rangers                    St. Johnstone   17/08/2024 (Saturday)               1.24               6.15              10.50                9.26              1.23              6.25             11.00               9.77
29                CD Nacional       Sporting Clube de Portugal   17/08/2024 (Saturday)               8.10               6.10               1.32                6.78              9.20              5.55              1.31               7.89
30            Ferencvarosi TC                        Ujpest FC   17/08/2024 (Saturday)               1.27               5.55               9.00                7.73              1.28              5.45              8.80               7.52
31                    Goztepe                       Fenerbahce   17/08/2024 (Saturday)               7.33               5.13               1.44                5.89              8.90              5.38              1.37               7.53
32               Cumbaya F.C.          Independiente Del Valle   17/08/2024 (Saturday)              10.30               5.26               1.28                9.02              9.70              5.07              1.30               8.40
33                 SL Benfica                      Casa Pia AC   17/08/2024 (Saturday)               1.18               7.50              13.50               12.32              1.21              6.90             12.50              11.29
34                  Celaya FC          CSyD Dorados de Sinaloa     18/08/2024 (Sunday)               1.33               4.90               8.15                6.82              1.32              4.95              8.45               7.13
35                  FK Khimki              Zenit St.Petersburg     18/08/2024 (Sunday)              11.00               6.00               1.32                9.68             10.50              5.92              1.33               9.17
36                 PEC Zwolle              Feyenoord Rotterdam     18/08/2024 (Sunday)               9.90               6.65               1.25                8.65              9.60              6.50              1.26               8.34
37                     Celtic                     Hibernian FC     18/08/2024 (Sunday)               1.20               6.50              12.60               11.40              1.21              6.45             12.30              11.09
38                  NAC Breda                   Ajax Amsterdam     18/08/2024 (Sunday)               9.10               6.45               1.27                7.83              9.50              6.55              1.26               8.24
39       Mikkelin Palloilijat                             Jaro     18/08/2024 (Sunday)               7.95               5.40               1.31                6.64              9.15              5.60              1.27               7.88
40           FC Flora Tallinn                  FC Nomme United     18/08/2024 (Sunday)               1.29               5.15               9.15                7.86              1.28              5.20              9.50               8.22
41               Krasnodar FK          FC Pari Nizhny Novgorod     18/08/2024 (Sunday)               1.43               4.97               8.90                7.47              1.39              5.07              9.90               8.51
42        FC Hebar Pazardzhik                    Botev Plovdiv     18/08/2024 (Sunday)               6.20               4.15               1.51                4.69              8.70              4.90              1.34               7.36
43                 AEK Athens                        OFI Crete     18/08/2024 (Sunday)               1.22               6.60              12.50               11.28              1.21              6.75             13.00              11.79
